ground_id,ground,country,continent,latitude,longitude
787,"Manor Fields, Bletchley, Milton Keynes",England,Europe,,
1123,"Sportpark Het Schootsveld, Deventer",Netherlands,Europe,,
1505,"Cheam Road, Sutton",England,Europe,,
306,"Victoria Park, Cheltenham",England,Europe,0.000000,0.000000
1315,"Nieuw Hanenburg, The Hague",Netherlands,Europe,,
2118,"Jaffery Sports Club Ground, Nairobi",Kenya,Africa,,
2498,"Conor Vayal Stadium, Tellicherry, Kannur",India,Asia,,
2443,"LC de Villiers No 2 Oval, Pretoria",South Africa,Africa,,
523,"Police A Ground, Salisbury",South Africa,Africa,,
1064,"Kaiser Sports Club, Discovery Bay, Jamaica",West Indies,Americas,,
2602,"Marske Cricket Club Ground, Marske-by-the-Sea",England,Europe,0.000000,0.000000
2105,"Tatham, Pietermaritzburg",South Africa,Africa,,
1320,"Laag Zestienhoven, Rotterdam",Netherlands,Europe,,
2265,"Robertson Oval, Wagga Wagga",Australia,Oceania,,
1428,"Cornwall Park, Hastings",New Zealand,Oceania,-39.631039,176.849625
1857,"Bill Lawry Oval, Melbourne",Australia,Oceania,,
367,"Vidarbha Cricket Association Ground, Nagpur",India,Asia,21.157253,79.076088
115,"Fartown, Huddersfield",England,Europe,,
60,"Dripping Pan, Lewes",England,Europe,,
539,"Hoffman's Sports and Social Club Ground, Chelmsford",England,Europe,,
2271,Loxton North Oval,Australia,Oceania,,
1070,Lincoln Green,New Zealand,Oceania,,
2399,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",India,Asia,21.013811,79.039665
225,"Bulls Head Ground, Coventry",England,Europe,0.000000,0.000000
259,"North Inch, Perth",England,Europe,,
707,"Police Park Ground, Colombo",Sri Lanka,Asia,,
258,"Reigate Priory Cricket Club Ground, Reigate",England,Europe,0.000000,0.000000
1524,"Country Club, Harare",Zimbabwe,Africa,0.000000,0.000000
2073,"Modjadjiskloof Oval, Duiwelskloof",South Africa,Africa,,
